sentence,correct level
"Me llamo Luis y vivo en Valencia.",A1
"Trabajo en una tienda y estudio por las tardes.",A1
"Mi hermana es médica y mi hermano es estudiante.",A1
"Hoy es lunes y tengo clase de matemáticas.",A1
"Estoy en casa y miro la televisión.",A1
"Mi perro está en el jardín y mi gato en la cocina.",A1
"Busco mi mochila; está debajo de la mesa.",A1
"Voy al mercado y compro pan y leche.",A1
"Somos cuatro en la familia y vivimos juntos.",A1
"Necesito agua... (A1 test: 'necesitar' without modal),",A1
"¿Dónde está el baño? Estoy muy cansado.",A1
"Mi cumpleaños es en mayo y tengo 30 años.",A1
"Me gusta el fútbol y juego con mis amigos.",A1
"El coche es rojo y la casa es grande.",A1
"El libro está en la mesa y la ventana está abierta.",A1
"Mi madre trabaja de ocho a cinco y yo estudio.",A1
"Como arroz y bebo agua todos los días.",A1
"Vivo cerca del parque y camino por la mañana.",A1
"El museo abre a las diez y cierra a las seis.",A1
"Estoy de acuerdo, pero no entiendo todo.",A1
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que ir al médico mañana.",A2
"Puedo ayudarte si quieres.",A2
"Sé tocar la guitarra un poco.",A2
"Ayer fui al cine con mis amigos.",A2
"He visitado a mis abuelos este fin de semana.",A2
"Cuando llego, te llamo porque no tengo tiempo.",A2
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Necesito comprar medicinas porque estoy resfriado.",A2
"Me duele la cabeza, pero sigo trabajando.",A2
"Voy a empezar un curso de fotografía.",A2
"¿Sabes conducir o prefieres ir en taxi?",A2
"Estoy aprendiendo a cocinar postres sencillos.",A2
"Antes no comía pescado, pero ahora me gusta.",A2
"Esta tarde he quedado con unos amigos.",A2
"Cuando termines, avísame.",A2
"No puedo salir porque tengo una reunión.",A2
"Quiero que vengas a mi fiesta.",B1
"Espero que no llueva mañana.",B1
"Cuando era pequeño, jugaba en el patio con mis primos.",B1
"De niño, siempre leía cuentos antes de dormir.",B1
"El año pasado viajé a Perú y fue inolvidable.",B1
"Antes vivía en Sevilla, pero me mudé a Bilbao.",B1
"Estoy a punto de salir; voy a llegar tarde.",B1
"Me gustaría que me ayudaras con este proyecto.",B1
"Es importante que estudies para el examen.",B1
"Busco un piso que sea tranquilo y luminoso.",B1
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Quiero que sepas que te apoyo.",B1
"Temo que no haya tiempo suficiente.",B1
"Me alegra que estés aquí.",B1
"Es mejor que cojas el tren.",B1
