
Me gustó esta película.,B1
Ella está nadando en dinero.,A2
No es importante.,A1
No me importa.,A1
Estaba a punto de salir cuando sonó el teléfono.,B1
Mira con atención. Te voy a mostrar cómo se hace.,B1
La gente debería entender que el mundo está cambiando.,C2
"El habla es plata, pero el silencio es oro.",C2
El cincuenta y dos por ciento de las mujeres británicas prefieren el chocolate al sexo.,C2
No me gustan estos comentarios.,A2
No estoy convencido en absoluto.,A2
¿Por qué quieres irte hoy?,A2
Voy a llevar mi coche.,B1
Es demasiado bueno para ser verdad.,A2
No puedes lograr lo imposible sin intentar lo absurdo.,C2
"Debes contar solo contigo mismo, pero incluso entonces, no demasiado.",B2
Estar en silencio en clase es respetar el sueño de los demás.,C2
La lógica es un método sistemático para llegar a la conclusión equivocada con confianza.,C2
El axioma de Cole: La suma de la inteligencia en el planeta es una constante; la población está creciendo.,C2
La gente aceptará tu idea mucho más fácilmente si les dices que Benjamin Franklin la dijo primero.,C2
"Si ves a un hombre acercándose a ti con la clara intención de hacerte el bien, deberías correr por tu vida.",C2
Aprendemos por experiencia que los hombres nunca aprenden nada de la experiencia.,C2
Más vale tarde que nunca.,C2
"De tal palo, tal astilla.",C2
"A quien madruga, Dios le ayuda.",C2
En la vida hay altibajos.,C2
Todos los gatos son grises en la oscuridad.,C2
Enséñame cómo lo haces.,A2
"No hay noticias, son buenas noticias.",A2
"La riqueza llega a quienes hacen que las cosas sucedan, no a quienes dejan que las cosas sucedan.",C2
"Si piensas que la educación es cara, espera a ver lo que te cuesta la ignorancia.",C2
¡Lo esperaba!,A1
El mundo se divide en personas que hacen las cosas y personas que se llevan el crédito.,C2
No espero nada de ti.,A1
Espera en la sala de espera.,A1
Más personas se meten en problemas por lo que dicen que por lo que hacen.,C2
"Las personas que te mentirán por ti, también te mentirán a ti.",C2
No hay duda.,C2
No hay ninguna solución.,A1
"En el mundo empresarial actual, demasiados ejecutivos gastan dinero que no han ganado para comprar cosas que no necesitan para impresionar a personas con las que ni siquiera se gustan.",C2
No sabía que bebiera tanto.,B2
Cualquier actividad que debas realizar llevará más tiempo del que tienes disponible.,C2
Muy bien hecho.,A1
¿Quieres jugo de fruta?,A2
Es una buena persona.,A1
Haz lo que te guste.,B2
¡Buen provecho!,A1
No hay amor sin celos.,C2
Ningún amor es malo ni prisión es justa.,C2
No había ni un alma.,B1
Estamos cortados del mismo paño.,C2
Las paredes tienen oídos.,A2
Tengo un sapo en la garganta.,A2
Siéntete como en casa.,A2
Nada grandioso se ha logrado jugando a lo seguro.,C2
"En general, se sabe poco sobre las ecuaciones diferenciales no lineales de segundo orden.",C2
Mali es uno de los países más pobres de África subsahariana.,C2
"En esta etapa, aún no hay una política energética clara para llevar energía descentralizada a las zonas rurales.",C2
¿Por qué no vienes con nosotros?,A1
No puedo decir lo contrario.,A2
¿Por qué me hablas de hipopótamos de repente? No veo la conexión entre eso y tus doce peces de oro rojos.,B2
"No le escuches, está hablando tonterías.",B2
No te puedes perder en las grandes ciudades; ¡hay mapas por todas partes!,B2
"Lo sentimos, la persona que intenta contactar no está disponible.",B1
Ya no lo quiero.,A2
Él vino varias veces.,B1
Nos preguntamos por qué.,C2
Debemos pensar en los amigos.,A2
Voy a tomar un baño.,B1
"Estaba lloviendo cuando salimos, pero para cuando llegamos, hacía sol.",B2
Salimos en tren.,A1
"Si comes demasiado, te volverás gordo.",B2
No sé si lo habría hecho por mí.,C1
¿Te gustaría venir?,A2
Sabía que él aceptaría.,B1
"Ella vendría gustosamente, pero estaba de vacaciones.",B2
Pensé que era verdad.,B1
Este es el pueblo del que te hablé.,B1
Este es el chico en el que pienso.,A2
Se le ha advertido en varias ocasiones.,B1
Tengo que devolver el libro antes del sábado.,A2
Nos esforzamos tanto por mejorar las cosas para nuestros hijos que las empeoramos.,C2
"Hola, solo quería informarte que el problema está solucionado.",B1
¿Cómo puedes tener una laptop y no un teléfono celular?,A2
Fui a tomar una cerveza con amigos.,B1
Él saltó por la ventana.,B1
Ayer nos divertimos.,B1
Ellos discutieron.,B1
Comí caviar.,A1
Ha cambiado mucho desde la última vez.,B1
Este cuchillo me fue muy útil.,B1
Tomaste la llave equivocada.,B1
Logré entrar.,B1
¿Cuánto cuesta?,A1
Te traigo la cuenta de inmediato.,A2
Aquí está su cambio.,A1
